;;;;;BTOP50 Index Historical Data ROR;;;;;;;
2008;8006.7958;8388.752;8368.4931;8247.4764;8348.4832;8533.8446;8346.1;8186.6561;8183.1522;8585.256;8787.7135;8930.7159
2009;8945.3087;8948.6453;8774.1646;8629.891;8714.7574;8569.7177;8537.7269;8570.6996;8693.5606;8546.7698;8725.1409;8504.7613
2010;8336.282;8394.0191;8559.1126;8632.858;8425.2982;8393.063;8334.8739;8596.2472;8737.8703;8917.0142;8759.2365;9047.1526
2011;8942.4137;8983.1643;8863.9218;9064.3971;8828.8769;8733.5515;8903.0872;8868.0981;8875.6359;8661.7952;8662.2543;8662.5748
2012;8712.4799;8764.7199;8613.7126;8645.7125;8801.6985;8648.8394;8847.2697;8724.6112;8646.7265;8439.2224;8465.2068;8503.9182
2013;8624.3421;8647.2656;8667.3619;8799.4178;8676.226;8543.8268;8446.4528;8344.8673;8307.741;8408.0652;8498.4772;8567.2129
2014;8481.8577;8462.9432;8456.3251;8484.0365;8609.4051;8611.8588;8548.9492;8774.479;8937.4474;9049.7464;9520.4871;9623.394
2015;10012.3813;9952.1768;10097.3492;9812.6746;9746.1643;9319.2336;9549.456;9367.9112;9529.5639;9419.0972;9690.1694;9534.4387
2016;9808.0008;10032.1529;9742.7253;9534.0556;9382.6262;9578.3008;9717.6555;9511.5343;9351.1699;9148.9321;9073.2888;9110.8975
2017;8981.9328;9032.8154;8949.569;8898.458;8908.1395;8676.5368;8730.9734;8894.4434;8716.4389;8984.8965;8959.2536;9036.348
2018;9309.571;8789.2498;8805.0792;8836.5838;8648.1967;8699.2816;8652.375;8794.5249;8801.3846;8595.7315;8562.9989;8620.6108
2019;8471.0173;8514.2958;8767.6727;9045.6167;8894.573;9079.3222;9356.5502;9709.4325;9411.0422;9163.0989;9230.8875;9196.0686
2020;9208.8971;9087.5146;8990.6872;9017.902;;;;;;;;
