"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 30-Jul-2010",621.94,563.59,614.71,,19.34,17.53,19.12,
"00:00:00 30-Jun-2010",605.39,557.32,565.97,,18.83,17.33,17.60,
"00:00:00 31-May-2010",622.91,554.04,595.13,,19.37,17.23,18.51,
"00:00:00 01-May-2010",639.47,549.28,590.88,,19.89,17.08,18.38,
"00:00:00 01-Apr-2010",605.23,561.66,600.40,,18.82,17.47,18.67,
"00:00:00 02-Mar-2010",568.74,524.36,563.24,,17.69,16.31,17.52,
"00:00:00 31-Jan-2010",546.39,471.43,530.27,,16.99,14.66,16.49,
"00:00:00 01-Jan-2010",608.44,514.56,521.96,,18.92,16.00,16.23,
"00:00:00 02-Dec-2009",626.61,538.03,544.14,,19.49,16.73,16.92,
"00:00:00 02-Nov-2009",619.05,522.11,614.69,,19.25,16.24,19.12,
"00:00:00 03-Oct-2009",583.85,518.09,526.26,,18.16,16.11,16.37,
"00:00:00 03-Sep-2009",569.70,492.86,520.51,,17.72,15.33,16.19,
"00:00:00 04-Aug-2009",498.97,434.02,495.25,,15.52,13.50,15.40,
"00:00:00 05-Jul-2009",466.25,400.92,460.32,,14.50,12.47,14.32,
"00:00:00 05-Jun-2009",503.16,431.14,432.11,,15.65,13.41,13.44,
"00:00:00 06-May-2009",513.45,421.50,492.07,,15.97,13.11,15.31,
"00:00:00 06-Apr-2009",421.50,385.17,421.50,,13.11,11.98,13.11,
"00:00:00 07-Mar-2009",442.39,405.42,413.46,,13.76,12.61,12.86,
"00:00:00 05-Feb-2009",462.65,398.67,432.75,,14.39,12.40,13.46,
"00:00:00 06-Jan-2009",402.21,337.90,398.67,,12.51,10.51,12.40,
"00:00:00 07-Dec-2008",362.98,304.15,355.91,,11.29,9.46,11.07,
"00:00:00 07-Nov-2008",334.69,294.82,304.15,,10.41,9.17,9.46,
"00:00:00 08-Oct-2008",377.45,285.50,334.69,,11.74,8.88,10.41,
"00:00:00 08-Sep-2008",430.18,342.73,374.23,,13.38,10.66,11.64,
"00:00:00 09-Aug-2008",506.70,408.96,408.96,,15.76,12.72,12.72,
"00:00:00 10-Jul-2008",620.51,506.70,506.70,,19.30,15.76,15.76,
"00:00:00 10-Jun-2008",588.68,524.38,572.93,,18.31,16.31,17.82,
"00:00:00 11-May-2008",583.21,533.70,561.35,,18.14,16.60,17.46,
"00:00:00 11-Apr-2008",596.72,520.52,545.60,,18.56,16.19,16.97,
"00:00:00 12-Mar-2008",672.59,538.20,589.00,,20.92,16.74,18.32,
"00:00:00 11-Feb-2008",668.74,544.96,651.05,,20.80,16.95,20.25,
"00:00:00 12-Jan-2008",552.67,500.59,544.96,,17.19,15.57,16.95,
"00:00:00 13-Dec-2007",516.34,441.91,516.34,,16.06,13.74,16.06,
"00:00:00 13-Nov-2007",486.76,445.61,470.53,,15.14,13.86,14.64,
"00:00:00 14-Oct-2007",508.62,429.21,486.76,,15.82,13.35,15.14,
"00:00:00 14-Sep-2007",443.36,400.92,443.36,,13.79,12.47,13.79,
"00:00:00 15-Aug-2007",410.24,375.20,400.92,,12.76,11.67,12.47,
"00:00:00 16-Jul-2007",428.89,407.99,410.24,,13.34,12.69,12.76,
"00:00:00 16-Jun-2007",428.89,394.17,421.98,,13.34,12.26,13.13,
"00:00:00 17-May-2007",440.79,413.46,419.89,,13.71,12.86,13.06,
"00:00:00 17-Apr-2007",453.00,418.60,423.10,,14.09,13.02,13.16,
"00:00:00 18-Mar-2007",453.00,420.21,453.00,,14.09,13.07,14.09,
"00:00:00 16-Feb-2007",468.76,405.26,420.21,,14.58,12.60,13.07,
"00:00:00 17-Jan-2007",449.47,403.49,449.47,,13.98,12.55,13.98,
"00:00:00 18-Dec-2006",441.43,392.56,412.82,,13.73,12.21,12.84,
"00:00:00 18-Nov-2006",451.72,409.92,441.43,,14.05,12.75,13.73,
"00:00:00 19-Oct-2006",418.76,371.98,409.92,,13.02,11.57,12.75,
"00:00:00 19-Sep-2006",380.99,345.30,378.09,,11.85,10.74,11.76,
"00:00:00 20-Aug-2006",422.78,344.01,352.69,,13.15,10.70,10.97,
"00:00:00 21-Jul-2006",400.28,345.30,386.13,,12.45,10.74,12.01,
"00:00:00 21-Jun-2006",377.77,324.40,356.23,,11.75,10.09,11.08,
"00:00:00 22-May-2006",422.14,312.51,326.33,,13.13,9.72,10.15,
"00:00:00 22-Apr-2006",480.33,391.76,399.63,,14.94,12.19,12.43,
