"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"00:00:00 16-Nov-2012",56397.52,54191.88,54528.65,,1754.16,1685.56,1696.03,
"00:00:00 17-Oct-2012",56379.10,53789.52,55167.91,,1753.59,1673.04,1715.91,
"00:00:00 17-Sep-2012",57746.10,55611.93,56255.90,,1796.10,1729.72,1749.75,
"00:00:00 18-Aug-2012",57158.64,51794.79,57059.16,,1777.83,1611.00,1774.74,
"00:00:00 19-Jul-2012",52386.54,50280.65,51952.63,,1629.40,1563.90,1615.91,
"00:00:00 19-Jun-2012",52505.81,49793.16,50608.09,,1633.11,1548.74,1574.09,
"00:00:00 20-May-2012",52746.34,49308.69,52350.38,,1640.59,1533.67,1628.28,
"00:00:00 20-Apr-2012",53745.35,49118.53,51205.63,,1671.67,1527.76,1592.67,
"00:00:00 21-Mar-2012",54526.34,51862.43,52789.66,,1695.96,1613.10,1641.94,
"00:00:00 20-Feb-2012",57565.09,52567.34,53052.48,,1790.47,1635.03,1650.12,
"00:00:00 21-Jan-2012",56678.52,53063.47,55733.18,,1762.90,1650.46,1733.50,
"00:00:00 22-Dec-2011",53675.68,48968.25,53596.30,,1669.50,1523.08,1667.03,
"00:00:00 22-Nov-2011",56599.00,50296.87,51854.39,,1760.43,1564.41,1612.85,
"00:00:00 23-Oct-2011",57963.13,52612.38,53971.33,,1802.85,1636.43,1678.70,
"00:00:00 23-Sep-2011",56432.86,49441.00,52788.37,,1755.26,1537.79,1641.90,
"00:00:00 24-Aug-2011",61757.25,54797.42,56012.51,,1920.87,1704.39,1742.18,
"00:00:00 25-Jul-2011",61473.48,51586.19,59082.89,,1912.04,1604.51,1837.68,
"00:00:00 25-Jun-2011",52201.91,47584.09,51971.26,,1623.66,1480.03,1616.49,
"00:00:00 26-May-2011",50098.20,48203.95,48289.30,,1558.23,1499.31,1501.97,
"00:00:00 26-Apr-2011",50684.46,47041.73,49077.12,,1576.46,1463.16,1526.47,
"00:00:00 27-Mar-2011",48824.35,45373.10,48443.89,,1518.61,1411.26,1506.77,
"00:00:00 25-Feb-2011",46538.95,44491.26,45975.46,,1447.52,1383.83,1430.00,
"00:00:00 26-Jan-2011",45604.16,42078.75,45130.71,,1418.45,1308.80,1403.72,
"00:00:00 27-Dec-2010",45766.01,42546.29,42836.60,,1423.48,1323.34,1332.37,
"00:00:00 27-Nov-2010",45987.32,43537.58,44187.81,,1430.37,1354.17,1374.39,
"00:00:00 28-Oct-2010",45781.70,42560.38,43857.42,,1423.97,1323.78,1364.12,
"00:00:00 28-Sep-2010",44597.35,41351.17,42687.01,,1387.13,1286.17,1327.71,
"00:00:00 29-Aug-2010",41804.65,39631.81,41577.02,,1300.27,1232.69,1293.19,
"00:00:00 30-Jul-2010",40005.78,37496.06,39812.63,,1244.32,1166.26,1238.31,
"00:00:00 30-Jun-2010",40101.50,37231.08,37555.35,,1247.30,1158.02,1168.10,
"00:00:00 31-May-2010",40597.35,38494.52,39901.72,,1262.72,1197.31,1241.08,
"00:00:00 01-May-2010",40178.60,37242.56,38933.61,,1249.69,1158.37,1210.97,
"00:00:00 01-Apr-2010",37996.46,35755.59,37920.93,,1181.82,1112.12,1179.47,
"00:00:00 02-Mar-2010",36818.54,34903.96,35787.26,,1145.18,1085.63,1113.11,
"00:00:00 31-Jan-2010",36372.58,33620.57,35956.68,,1131.31,1045.72,1118.38,
"00:00:00 01-Jan-2010",37371.11,34554.72,34770.23,,1162.37,1074.77,1081.48,
"00:00:00 02-Dec-2009",39444.79,34575.37,35286.23,,1226.87,1075.41,1097.52,
"00:00:00 02-Nov-2009",38637.80,33529.20,38473.89,,1201.77,1042.87,1196.67,
"00:00:00 03-Oct-2009",34419.55,32214.54,33529.20,,1070.57,1001.98,1042.87,
"00:00:00 03-Sep-2009",32918.98,31340.91,32242.11,,1023.89,974.81,1002.84,
"00:00:00 04-Aug-2009",31531.48,29990.81,31402.81,,980.74,932.82,976.74,
"00:00:00 05-Jul-2009",30946.80,29112.57,30745.14,,962.55,905.50,956.28,
"00:00:00 05-Jun-2009",31552.80,29387.17,29987.75,,981.40,914.04,932.72,
"00:00:00 06-May-2009",31816.43,28816.64,31451.08,,989.60,896.30,978.24,
"00:00:00 06-Apr-2009",29528.81,27823.91,28859.08,,918.45,865.42,897.62,
"00:00:00 07-Mar-2009",31081.48,28439.74,28699.04,,966.74,884.57,892.64,
"00:00:00 05-Feb-2009",32317.28,28656.11,30204.04,,1005.18,891.30,939.45,
"00:00:00 06-Jan-2009",29876.09,25830.82,29116.97,,929.25,803.43,905.64,
"00:00:00 07-Dec-2008",28622.17,24293.04,27554.23,,890.25,755.60,857.03,
"00:00:00 07-Nov-2008",26666.71,22534.70,24313.52,,829.43,700.91,756.24,
"00:00:00 08-Oct-2008",29913.96,21956.54,23551.88,,930.43,682.92,732.55,
"00:00:00 08-Sep-2008",29712.16,23686.63,28582.77,,924.15,736.74,889.02,
